epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4940.85,0.35469,0.26186,0.82828,0.9998,1,0.995,0.98224,0.25007,0.20972,0.77748,0.0011486,0.0011486,0.0011486
45,5083.48,0.35131,0.2577,0.82955,1,0.99957,0.995,0.98333,0.2411,0.20602,0.77766,0.0011288,0.0011288,0.0011288
46,5189.27,0.33706,0.24685,0.82882,0.9998,1,0.995,0.98342,0.24904,0.21173,0.77576,0.001109,0.001109,0.001109
47,5278.94,0.34446,0.24785,0.83452,0.99982,1,0.995,0.98499,0.24895,0.20426,0.77664,0.0010892,0.0010892,0.0010892
48,5376.61,0.34179,0.24337,0.83015,0.99983,1,0.995,0.98463,0.23507,0.19449,0.77506,0.0010694,0.0010694,0.0010694
49,5473.63,0.34121,0.24432,0.83268,0.99982,1,0.995,0.98564,0.23098,0.19391,0.77572,0.0010496,0.0010496,0.0010496
50,5588.97,0.342,0.2437,0.82773,0.99983,1,0.995,0.98463,0.2367,0.19707,0.77623,0.0010298,0.0010298,0.0010298
51,5689.87,0.32133,0.23903,0.81602,0.99977,1,0.995,0.98597,0.23258,0.19288,0.77482,0.00101,0.00101,0.00101
52,5794.13,0.33099,0.23772,0.82519,0.99981,1,0.995,0.98481,0.24561,0.19584,0.77643,0.0009902,0.0009902,0.0009902
53,5889.39,0.33131,0.23941,0.83147,0.99975,1,0.995,0.98277,0.24284,0.19898,0.77568,0.0009704,0.0009704,0.0009704
54,5999.69,0.33381,0.23475,0.82869,0.99972,1,0.995,0.9836,0.24276,0.18988,0.77561,0.0009506,0.0009506,0.0009506
55,6088.94,0.33337,0.23966,0.82729,0.99932,1,0.995,0.98607,0.23445,0.1906,0.77565,0.0009308,0.0009308,0.0009308
56,6190.19,0.32714,0.23598,0.82873,0.99929,1,0.995,0.99022,0.21896,0.18569,0.77413,0.000911,0.000911,0.000911
57,6297.89,0.33547,0.2402,0.82752,0.99973,1,0.995,0.98848,0.2322,0.19171,0.77467,0.0008912,0.0008912,0.0008912
58,6406.25,0.32582,0.23145,0.8274,0.99703,1,0.995,0.98229,0.24833,0.19395,0.77647,0.0008714,0.0008714,0.0008714
59,6497.29,0.3122,0.22531,0.82271,0.99984,1,0.995,0.98896,0.21708,0.18053,0.77516,0.0008516,0.0008516,0.0008516
60,6595.89,0.33863,0.23678,0.83046,0.99976,1,0.995,0.98395,0.23428,0.18782,0.7756,0.0008318,0.0008318,0.0008318
61,6695.61,0.31177,0.22875,0.82055,0.99979,1,0.995,0.98704,0.22438,0.1827,0.77457,0.000812,0.000812,0.000812
62,6792.82,0.31367,0.22407,0.82533,0.99957,1,0.995,0.98617,0.21284,0.17824,0.77307,0.0007922,0.0007922,0.0007922
63,6885.08,0.31714,0.22494,0.82309,0.99982,1,0.995,0.99016,0.21591,0.17293,0.77269,0.0007724,0.0007724,0.0007724
64,6974.27,0.31346,0.22505,0.82416,0.99709,1,0.995,0.98934,0.20977,0.17626,0.77236,0.0007526,0.0007526,0.0007526
65,7084.02,0.31354,0.21761,0.81897,0.9995,1,0.995,0.98932,0.2178,0.17485,0.7728,0.0007328,0.0007328,0.0007328
66,7187.79,0.30988,0.21646,0.82491,0.99983,1,0.995,0.98908,0.22122,0.17154,0.77303,0.000713,0.000713,0.000713
67,7288.88,0.29369,0.21047,0.81967,0.99983,1,0.995,0.98925,0.2115,0.17072,0.77367,0.0006932,0.0006932,0.0006932
68,7540.35,0.31157,0.21849,0.81848,0.99982,1,0.995,0.98856,0.22579,0.17674,0.77444,0.0006734,0.0006734,0.0006734
69,7638.54,0.30592,0.21416,0.82264,0.99982,1,0.995,0.98869,0.20648,0.16707,0.77166,0.0006536,0.0006536,0.0006536
70,7766.93,0.30184,0.21167,0.82274,0.99943,1,0.995,0.98944,0.21843,0.16812,0.77253,0.0006338,0.0006338,0.0006338
71,7908.97,0.30235,0.21456,0.81985,0.99983,1,0.995,0.98924,0.21183,0.16834,0.77326,0.000614,0.000614,0.000614
72,8047.19,0.30129,0.20998,0.82259,0.99964,1,0.995,0.98883,0.20684,0.1641,0.77258,0.0005942,0.0005942,0.0005942
73,8151.97,0.29809,0.20855,0.82085,0.99875,1,0.995,0.99045,0.20184,0.16306,0.77224,0.0005744,0.0005744,0.0005744
74,8282.55,0.28858,0.20234,0.81055,0.99966,1,0.995,0.98967,0.20002,0.15926,0.77109,0.0005546,0.0005546,0.0005546
75,8368.79,0.28908,0.2045,0.81765,0.99979,1,0.995,0.98806,0.19933,0.16139,0.77151,0.0005348,0.0005348,0.0005348
76,8467.02,0.29401,0.20444,0.81579,0.99982,1,0.995,0.987,0.21171,0.16247,0.77101,0.000515,0.000515,0.000515
77,8576.92,0.29166,0.20233,0.81862,0.99983,1,0.995,0.99124,0.1921,0.15522,0.77003,0.0004952,0.0004952,0.0004952
